location,air_quality_index,water_quality_index,visual_pollution_score,tourist_density,date_recorded,season
Abha,94.6,98.1,15.9,76.2,2024-01-01,Winter
Al-Namas,79.2,80.4,27.0,72.8,2024-01-01,Winter
Bisha,79.2,82.4,24.6,63.2,2024-01-01,Winter
Khamis Mushait,87.0,89.5,23.0,75.3,2024-01-01,Winter
Muhayil,79.2,87.8,25.6,67.0,2024-01-01,Winter
Abha,94.6,100.0,12.2,79.1,2024-01-11,Winter
Al-Namas,79.2,85.6,27.2,68.7,2024-01-11,Winter
Bisha,79.2,81.8,25.4,63.0,2024-01-11,Winter
Khamis Mushait,87.0,90.7,23.9,76.5,2024-01-11,Winter
Muhayil,79.2,89.3,24.4,61.5,2024-01-11,Winter
Abha,94.6,98.1,15.9,84.8,2024-01-21,Winter
Al-Namas,79.2,86.6,24.8,74.7,2024-01-21,Winter
Bisha,79.2,84.7,32.4,66.4,2024-01-21,Winter
Khamis Mushait,87.0,92.9,18.5,72.6,2024-01-21,Winter
Muhayil,79.2,83.1,28.8,59.3,2024-01-21,Winter
Abha,94.6,98.0,12.7,85.0,2024-01-31,Winter
Al-Namas,79.2,84.9,29.6,72.3,2024-01-31,Winter
Bisha,79.2,82.3,29.2,64.0,2024-01-31,Winter
Khamis Mushait,87.0,92.2,20.4,75.0,2024-01-31,Winter
Muhayil,79.2,83.4,28.1,53.3,2024-01-31,Winter
Abha,94.6,100.0,13.2,84.5,2024-02-10,Winter
Al-Namas,79.2,90.0,30.0,65.3,2024-02-10,Winter
Bisha,79.2,86.6,29.4,62.7,2024-02-10,Winter
Khamis Mushait,87.0,91.3,26.2,85.4,2024-02-10,Winter
Muhayil,79.2,85.1,31.0,68.3,2024-02-10,Winter
Abha,94.6,100.0,17.6,77.8,2024-02-20,Winter
Al-Namas,79.2,82.8,27.4,75.5,2024-02-20,Winter
Bisha,79.2,88.3,30.0,69.0,2024-02-20,Winter
Khamis Mushait,87.0,93.7,20.9,77.9,2024-02-20,Winter
Muhayil,79.2,83.8,28.1,59.9,2024-02-20,Winter
Abha,94.6,96.2,11.5,74.1,2024-03-01,Spring
Al-Namas,79.2,81.7,23.0,57.9,2024-03-01,Spring
Bisha,79.2,76.5,26.0,57.7,2024-03-01,Spring
Khamis Mushait,87.0,87.8,20.4,69.1,2024-03-01,Spring
Muhayil,79.2,85.6,26.0,46.1,2024-03-01,Spring
Abha,94.6,98.6,9.7,56.8,2024-03-11,Spring
Al-Namas,79.2,81.0,19.9,51.5,2024-03-11,Spring
Bisha,79.2,77.5,29.4,60.8,2024-03-11,Spring
Khamis Mushait,87.0,94.0,19.3,56.0,2024-03-11,Spring
Muhayil,79.2,82.8,22.9,49.6,2024-03-11,Spring
Abha,94.6,98.6,11.2,69.9,2024-03-21,Spring
Al-Namas,79.2,79.3,26.3,56.6,2024-03-21,Spring
Bisha,79.2,77.0,23.6,53.0,2024-03-21,Spring
Khamis Mushait,87.0,88.0,16.9,71.3,2024-03-21,Spring
Muhayil,79.2,80.4,24.1,49.0,2024-03-21,Spring
Abha,94.6,97.4,9.2,81.3,2024-03-31,Spring
Al-Namas,79.2,83.6,30.6,69.2,2024-03-31,Spring
Bisha,79.2,86.6,24.6,58.1,2024-03-31,Spring
Khamis Mushait,87.0,89.3,18.0,63.3,2024-03-31,Spring
Muhayil,79.2,85.2,28.4,60.1,2024-03-31,Spring
Abha,94.6,100.0,16.8,81.0,2024-04-10,Spring
Al-Namas,79.2,88.8,29.1,60.8,2024-04-10,Spring
Bisha,79.2,82.2,24.9,56.5,2024-04-10,Spring
Khamis Mushait,87.0,91.9,20.4,68.9,2024-04-10,Spring
Muhayil,79.2,78.1,29.9,63.3,2024-04-10,Spring
Abha,94.6,100.0,12.6,67.1,2024-04-20,Spring
Al-Namas,79.2,83.1,28.6,71.0,2024-04-20,Spring
Bisha,79.2,89.0,26.0,62.3,2024-04-20,Spring
Khamis Mushait,87.0,86.3,18.4,65.2,2024-04-20,Spring
Muhayil,79.2,83.0,25.5,57.9,2024-04-20,Spring
Abha,94.6,100.0,15.5,73.0,2024-04-30,Spring
Al-Namas,79.2,84.0,25.0,60.2,2024-04-30,Spring
Bisha,79.2,81.8,25.2,56.4,2024-04-30,Spring
Khamis Mushait,87.0,89.7,18.4,64.0,2024-04-30,Spring
Muhayil,79.2,73.9,28.9,63.0,2024-04-30,Spring
Abha,94.6,93.6,14.3,75.3,2024-05-10,Spring
Al-Namas,79.2,81.4,25.4,57.2,2024-05-10,Spring
Bisha,79.2,83.9,23.8,62.8,2024-05-10,Spring
Khamis Mushait,87.0,88.5,14.8,59.8,2024-05-10,Spring
Muhayil,79.2,76.6,26.1,55.3,2024-05-10,Spring
Abha,94.6,96.9,10.9,64.9,2024-05-20,Spring
Al-Namas,79.2,82.4,26.9,56.3,2024-05-20,Spring
Bisha,79.2,88.6,27.4,57.7,2024-05-20,Spring
Khamis Mushait,87.0,95.2,23.4,72.1,2024-05-20,Spring
Muhayil,79.2,81.4,26.0,47.2,2024-05-20,Spring
Abha,94.6,99.0,11.0,63.3,2024-05-30,Spring
Al-Namas,79.2,78.6,29.7,59.5,2024-05-30,Spring
